"readingId","gaugeId","gaugeRevisionId","remarks","readingDate","readingHour","readingMinute","quality","rainAmount","snowDepth","snowAccumulation","createdDate","brand","model","description","gaugeType","gaugeTypeOther","lat","lng"
"1630325","2348","2348","71 - 42 ----- Davis Vantage VUE","2014-01-01","7","0","Good","0.0","","","2008-01-13","Davis","","","TruChek","","32.46957100591838","-110.95882335305419"
"1630326","1725","1725","","2014-01-01","7","0","Good","0.0","","","2007-08-14","N/A","","","TruChek","","31.7911568804","-111.0263568163"
"1630343","1005","1005","","2014-01-01","5","33","Good","0.0","","","2007-03-28","La Crosse","","LaCrosse WS-7038U","TippingBucketOrElectronic","","32.2919577244985","-110.80424308776855"
"1630361","1335","1335","","2014-01-01","6","30","Good","0.0","","","2007-07-12","Bought at Ace Hardware","","","TruChek","","32.32545419316276","-110.9598058462143"
"1630371","3002","3002","","2014-01-01","7","0","Good","0.0","","","2008-07-04","Taylor","","","TruChek","","32.09475029329084","-110.83338260650635"
"1630385","7913","7913","","2014-01-01","7","0","Good","0.0","","","2013-12-28","Torrent","","","TruChek","","32.46299815707086","-110.95316827297893"
"1630388","5812","5812","","2014-01-01","7","0","Good","0.0","","","2011-07-01","Productive Alternatives","","","TruChek","","32.27116242320763","-111.03023931384087"
"1630392","3166","3166","","2014-01-01","7","0","Good","0.0","","","2008-07-27","Tru-Chek","","","TruChek","","31.89072621607337","-110.93151926994324"
"1630401","178","178","","2014-01-01","7","0","Good","0.0","","","2006-06-21","","","Brookstone funnel type","TruChek","","32.521099","-110.897514"
"1630402","6555","6555","","2014-01-01","7","0","Good","0.0","","","2012-10-05","Productive Alternatives","","","TruChek","","32.5187","-110.90229"
"1630413","6357","6357","","2014-01-01","7","0","Good","0.0","","","2012-08-01","Stratus","","","TruChek","","32.36667734151787","-110.9659679280594"
"1630414","4419","4419","","2014-01-01","7","0","Good","0.0","","","2009-07-07","Springfield","","","TruChek","","32.28074885466054","-110.7749617472291"
"1630415","196","196","","2014-01-01","7","0","Good","0.0","","","2006-06-17","Davis","","","TruChek","","32.2432233887","-111.0184979439"
"1630427","5974","5974","","2014-01-01","7","0","Good","0.0","","","2011-08-26","Taylor","","","TruChek","","32.2124529667152","-110.7720254659489"
"1630428","4296","4296","","2014-01-01","7","0","Good","0.0","","","2009-05-17","La Crosse","","","TruChek","","32.49655575564161","-110.8983188867569"
"1630430","6538","6538","","2014-01-01","7","0","Good","0.0","","","2012-09-29","Tru-Chek","","","TruChek","","32.37714893325592","-111.13654078915715"
"1630431","1355","1355","","2014-01-01","7","0","Good","0.0","","","2007-07-13","RainWise Rainew","","","TruChek","","32.36317511056115","-111.00445792078972"
"1630437","20","20","","2014-01-01","7","0","Good","0.0","","","2005-07-25","","","","TruChek","","31.9665807536","-110.6931138039"
"1630438","281","281","","2014-01-01","7","0","Good","0.0","","","2006-07-19","N/A","","","TruChek","","32.2807834363","-110.9673643112"
"1630448","6449","6449","","2014-01-01","7","0","Good","0.0","","","2012-09-04","Tru-Chek","","","TruChek","","31.87900486641717","-111.00756740566794"
"1630450","1254","1254","","2014-01-01","7","0","Good","0.0","","","2007-07-10","","","","Other","Davis digital Tipping bucket","32.2938260182","-110.7896411419"
"1630456","162","162","","2014-01-01","7","0","Good","0.0","","","2006-10-06","N/A","","CoCoRAHS offical gauge","TruChek","","32.39318342400378","-110.96568943932652"
"1630457","158","158","","2014-01-01","7","0","Good","0.0","","","2006-06-25","Productive Alternatives","","","TruChek","","32.4139642721","-110.9916973114"
"1630458","6444","6444","","2014-01-01","7","0","Good","0.0","","","2012-09-01","La Crosse","","","TruChek","","32.17115808983002","-111.13429963588715"
"1630465","5166","5166","","2014-01-01","7","0","Good","0.0","","","2010-01-22","Davis","","","TruChek","","32.2274344748694","-110.86442310062637"
"1630472","117","117","","2014-01-01","7","0","Good","0.0","","","2006-07-05","","","will purchase gauge..type?","TruChek","","32.0953547201","-110.6662166119"
"1630473","146","146","72/39","2014-01-01","7","0","Good","0.0","","","2006-06-11","Smith Hawkin","","","TruChek","","32.2191459424","-110.7823240757"
"1630477","5662","5662","","2014-01-01","7","0","Good","0.0","","","2011-01-12","Taylor","","","TruChek","","32.44849750043792","-110.97991704940796"
"1630479","5147","5147","","2014-01-01","7","0","Good","0.0","","","2010-01-20","Acu-Rite","","","TruChek","","32.31111588367715","-111.07303690911976"
"1630486","1216","1216","","2014-01-01","7","0","Good","0.0","","","2007-07-09","","","","TruChek","","32.2496364607","-110.7882302999"
"1630489","3075","3075","72/38","2014-01-01","7","0","Good","0.0","","","2008-07-15","?","","","TruChek","","32.14585718974063","-111.06929734423545"
